Anonymous Pony				(Jan 17, 2020)	76.71	86.69	66.72	78.46
Anonymous Python				(Dec 25, 2019)	66.41	83.52	51.85	73.60
Anonymous Groundhog				(Dec 25, 2019)	67.23	82.09	54.32	71.01
BERT-PAIR	https://www.aclweb.org/anthology/D19-1649.pdf	https://github.com/thunlp/fewrel	THUNLP, Tsinghua University	(Nov 3, 2019)	67.41	78.57	54.89	66.85
Proto-ADV (CNN)	https://www.aclweb.org/anthology/D19-1649.pdf	https://github.com/thunlp/fewrel	THUNLP, Tsinghua University	(Nov 3, 2019)	42.21	58.71	28.91	44.35
Proto-ADV (BERT)	https://www.aclweb.org/anthology/D19-1649.pdf	https://github.com/thunlp/fewrel	THUNLP, Tsinghua University	(Nov 3, 2019)	41.90	54.74	27.36	37.40
Proto-BERT				(Nov 3, 2019)	40.12	51.50	26.45	36.93
Proto-CNN				(Nov 3, 2019)	35.09	49.37	22.98	35.22
PAMN			Anonymous	(Jun 8, 2020)	77.54	90.40	65.98	82.03
DualGraph			Anonymous	(Aug 2, 2020)	80.11	91.01	73.89	82.34
GTP			Anonymous	(Aug 24, 2020)	80.04	92.58	69.25	86.88
